x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
-17,695,92,736,1087,638,626,1149,1133,704
876,314,108,861,532,865,616,748,626,1015
625,642,100,763,792,720,609,1582,923,878
1113,1040,109,577,1111,784,617,675,1041,1238
668,860,90,627,401,674,610,157,983,954
950,664,97,828,870,953,604,1279,702,591
1162,235,90,577,792,280,613,565,882,1377
937,607,94,956,709,582,619,938,690,1119
4,522,101,643,931,683,612,415,1032,1018
1025,936,98,729,835,527,602,222,1054,676
30,413,95,998,102,698,598,1125,712,787
441,386,101,623,1114,688,593,651,1123,1245
812,444,93,600,1009,438,586,477,942,696
719,1166,102,672,804,718,586,1107,851,739
317,1044,96,432,559,585,592,1108,667,961
458,879,85,579,867,877,584,486,933,609
1050,562,88,907,556,842,574,656,498,900
550,798,83,409,593,759,573,750,1304,1246
358,498,84,644,281,479,564,172,993,714
464,1101,81,584,648,529,577,681,713,502
762,630,80,438,1231,477,568,1044,989,1341
318,513,98,855,989,696,581,431,965,761
216,792,87,812,508,509,574,1202,664,1078
757,126,79,733,795,979,566,794,805,639
936,908,84,596,213,841,580,1076,1072,686
507,820,96,523,1054,947,564,1096,700,935
592,1040,85,1057,1029,751,584,487,920,783
324,746,87,420,510,994,573,1236,594,611
1065,1022,77,99,881,914,574,844,849,470
544,98,91,807,473,568,580,806,929,611
720,327,94,723,463,687,563,1079,944,1663
977,715,93,856,1108,868,572,755,903,896
886,652,92,852,514,919,569,524,934,868
730,952,86,374,486,613,560,881,670,920
519,901,78,688,579,882,565,1115,541,872
179,963,79,679,776,531,565,422,445,1228
460,81,83,669,973,891,553,600,1329,1015
371,4,88,670,912,987,544,812,696,712
322,781,97,968,505,946,537,1229,839,1125
596,99,94,755,1229,769,551,488,657,691
1320,38,81,1051,809,911,551,821,593,734
1222,108,78,647,536,642,552,1070,766,953
404,555,83,501,551,531,542,1156,833,1063
860,715,91,1105,541,929,535,1178,573,740
748,782,87,1078,897,698,543,1590,963,560
459,807,95,969,1202,783,539,709,745,930
862,110,82,657,693,701,544,722,840,940
475,542,98,1023,1054,498,532,762,862,966
299,543,94,845,520,768,522,1206,743,299
32,1090,93,705,1103,605,518,833,1008,749
490,1246,85,695,1139,907,522,381,635,497
417,748,99,278,806,751,521,1379,477,1432
1050,1003,98,1220,588,535,511,125,1223,1344
486,403,89,732,917,612,520,801,1451,950
1143,597,107,563,544,962,501,828,922,1109
854,604,108,771,215,495,514,998,539,1196
1198,560,96,1132,543,1033,513,563,717,919
828,573,106,730,534,907,501,661,743,660
749,554,99,534,1110,547,512,426,752,560
1165,812,104,975,1073,831,503,505,689,828
7,972,109,389,641,1188,511,1528,1384,789
786,630,105,630,295,956,503,-21,681,969
1082,440,115,591,825,628,500,434,938,886
669,429,120,589,845,484,510,1123,723,268
794,585,124,797,529,581,508,947,938,1036
716,983,116,894,982,422,492,860,663,1049
684,123,113,831,872,859,508,150,1014,1078
418,585,123,663,786,804,499,889,690,816
903,385,133,1118,1115,850,498,1264,817,585
610,940,139,292,1360,1009,502,408,754,1184
913,331,123,386,803,950,492,263,862,635
485,529,140,1142,990,572,498,164,457,1222
10,1082,150,409,792,492,499,229,1033,825
503,700,150,479,574,595,506,417,1152,720
769,614,152,597,760,715,506,865,483,1009
781,830,152,842,919,465,509,1160,851,522
571,420,140,969,1084,689,496,1628,862,1060
630,941,145,656,416,859,490,663,1056,1162
-395,335,151,264,509,783,499,1146,896,517
623,129,151,867,459,785,508,473,704,1092
-63,563,143,677,1378,833,493,227,948,948
897,390,155,982,849,320,506,502,330,486
650,204,156,875,490,843,504,1006,861,1281
134,1248,165,854,329,703,509,509,797,1199
426,458,169,768,1029,790,509,820,1354,832
238,321,170,329,659,861,516,273,529,1594
709,410,169,1427,695,605,526,1298,666,918
1162,113,160,755,738,848,527,782,586,642
1313,853,174,855,657,1055,530,461,580,897
516,176,168,853,1087,793,539,509,709,727
812,847,159,497,674,713,549,1511,938,475
70,1314,167,862,599,793,531,1173,432,1381
157,574,167,918,543,671,542,1051,938,961
345,339,177,259,1036,757,539,1037,1306,1162
817,725,163,849,339,497,541,301,968,1475
584,600,172,1039,599,586,550,772,722,831
671,385,164,426,1047,718,549,1223,1032,1045
568,776,155,708,599,822,554,308,1033,819
656,37,160,288,463,610,545,477,1035,968
490,393,162,603,780,874,557,1382,712,849
1591,714,152,181,1128,533,545,838,998,1269
625,212,163,277,1069,929,545,878,493,645
1032,330,153,603,1134,735,556,669,553,770
851,506,144,788,849,901,562,788,760,979
1473,426,144,899,657,740,562,671,621,1044
434,859,149,612,790,774,561,769,582,749
509,682,143,683,213,566,567,1037,631,961
865,1317,145,990,747,811,564,1109,1196,758
1357,463,141,1023,603,657,561,994,631,1129
146,167,146,642,628,947,559,700,807,1082
467,698,136,839,767,682,563,1291,1073,588
1280,793,134,1302,509,780,571,472,1162,601
668,749,143,603,662,950,564,766,1052,648
1245,-13,133,918,775,739,566,542,783,790
1175,464,123,541,359,906,563,907,1119,667
602,585,129,771,799,1065,566,1215,1597,452
596,419,132,808,458,793,559,644,1010,999
507,935,119,1365,1093,681,570,790,672,1239
813,532,124,654,460,761,561,867,660,1126
955,778,114,715,960,915,559,703,475,1099
1130,116,129,816,999,488,555,730,1010,934
545,927,138,1050,733,499,560,524,852,1111
781,754,128,801,585,962,562,906,576,743
689,665,142,300,571,870,550,568,780,989
697,-633,132,551,1409,475,550,831,697,968
192,533,130,731,290,790,569,1215,493,1254
707,943,130,598,1155,982,560,494,736,1042
425,646,128,1140,646,803,567,802,912,1153
413,381,139,921,1029,577,559,600,943,376
1482,586,148,608,1001,752,567,946,602,979
659,257,136,718,1243,704,569,275,754,722
1427,783,140,337,1027,1021,559,691,646,662
671,640,143,767,200,653,551,957,618,1207
1923,330,147,1036,791,777,551,1189,811,1158
867,1322,130,626,887,682,551,785,840,340
364,-5,144,1289,438,696,552,430,1205,1287
1223,568,138,1101,600,286,567,785,465,360
1160,711,145,433,935,882,559,1282,682,1172
148,775,135,794,909,729,550,668,977,960
233,438,150,603,862,1040,555,529,406,803
930,-240,137,873,865,752,554,-53,891,803
297,1049,136,677,920,947,558,590,666,1245
437,747,143,762,646,466,558,527,1111,950
795,457,155,424,1190,805,550,784,761,354
324,376,145,647,834,707,558,720,791,217
1485,496,141,572,1338,652,563,571,563,1057
840,436,143,713,1546,590,566,666,839,1107
1106,480,142,977,285,885,568,1063,1012,509
386,516,135,1084,627,433,564,524,719,1133
1053,526,153,576,979,930,564,910,838,780
1106,854,150,731,892,576,551,739,718,1130
580,657,160,318,551,823,547,375,1114,277
127,513,162,663,1120,789,537,556,726,740
844,-48,158,844,506,1095,543,1233,959,498
413,654,152,617,118,776,554,634,1149,822
179,386,153,904,815,646,541,426,704,1296
744,707,167,1023,1354,1120,540,1176,872,506
626,1346,153,590,555,392,556,584,725,1063
371,243,160,1030,490,496,546,983,627,898
692,779,158,516,711,808,554,292,699,1035
540,596,150,325,779,469,536,553,391,877
825,579,157,476,484,908,556,1274,816,1411
698,590,161,691,792,508,546,443,936,1071
636,1112,155,836,690,646,542,722,943,848
591,607,166,1172,1106,357,554,999,905,1103
641,291,160,759,1285,673,549,827,1163,863
204,57,152,704,708,944,545,1006,487,878
711,450,154,976,910,775,536,798,1008,776
1336,475,161,909,1128,738,545,906,963,782
1356,708,171,149,525,758,537,1545,854,581
1153,703,161,511,571,649,542,1266,710,753
517,975,158,831,263,337,540,849,1172,618
985,1054,166,752,904,677,555,742,927,752
730,-31,156,769,829,716,543,1088,1060,1285
152,505,158,990,936,898,539,1355,716,1136
598,745,166,230,789,656,532,775,836,845
985,1277,171,419,1067,640,534,826,1201,971
1273,423,160,963,805,598,529,962,1170,1037
616,106,169,458,562,616,530,533,906,896
653,778,167,780,871,475,520,765,667,1251
133,496,164,936,624,991,518,1315,926,1046
267,920,173,972,1040,940,512,54,914,893
215,464,163,667,934,494,509,511,692,813
586,787,169,1097,857,771,514,129,777,664
516,753,157,506,812,1071,509,494,712,660
454,782,157,1093,276,746,510,883,971,1411
593,882,158,620,690,490,518,1030,423,957
1035,1004,172,499,1090,573,519,831,689,1562
381,1122,163,695,837,408,508,1383,811,1008
224,895,166,873,898,1092,500,908,666,859
596,1107,154,884,1056,957,510,408,980,874
684,1161,163,702,1685,860,500,534,932,1379
792,310,158,792,887,763,500,564,648,463
1625,846,148,654,732,645,499,1056,817,902
240,695,156,1169,1285,971,502,683,820,1466
533,300,138,600,993,772,491,777,478,1137
263,602,156,623,1070,772,497,751,761,796
652,861,158,910,754,742,490,434,964,1438
1175,748,147,644,802,848,499,1037,519,871
421,464,151,1097,942,592,497,983,816,1031
611,748,153,347,722,798,494,558,898,872
671,461,157,757,583,579,509,686,1156,822
866,158,146,505,543,776,499,1054,320,701
756,479,154,556,1130,515,495,440,969,570
994,626,139,799,667,538,495,1471,750,1071
617,258,152,753,742,513,494,553,442,809
930,563,149,1158,1125,406,508,790,955,731
1311,1299,146,940,821,580,498,927,712,1376
424,946,140,728,671,631,504,746,840,462
940,442,143,720,756,831,489,584,769,1152
295,177,146,983,1135,764,497,594,997,966
718,335,147,638,1038,409,496,1134,502,903
1026,1020,137,537,1042,862,498,1318,630,477
542,187,138,187,1092,789,491,741,632,775
938,644,130,660,474,1141,508,643,414,931
530,319,147,992,671,727,505,1028,856,599
1070,76,130,732,683,581,493,699,447,936
1082,609,120,919,1039,578,494,864,848,785
1142,1069,110,922,946,1022,503,849,1077,1105
-89,178,122,712,1208,725,494,678,100,616
419,1139,122,686,333,666,492,699,984,900
848,-13,116,828,967,808,491,915,970,992
488,314,126,605,688,671,503,710,607,1292
426,593,119,704,226,790,494,533,798,646
1341,630,127,672,548,697,496,661,750,890
802,559,126,379,577,533,487,416,715,1122
253,549,118,911,849,967,494,915,792,880
909,478,112,723,395,1028,503,363,1193,1088
712,575,110,537,660,750,497,626,1144,327
1224,728,114,1212,370,660,501,1279,1018,1404
-44,926,119,376,1220,717,497,177,751,606
488,984,121,1157,859,750,485,457,314,1450
970,12,109,647,743,739,503,680,919,1149
529,107,117,478,617,474,494,780,943,1013
346,148,113,931,673,776,484,610,714,749
945,388,118,849,464,303,494,381,615,822
890,346,112,690,1058,640,497,327,1172,1013
349,959,191,755,908,1021,599,793,732,1173
1233,383,201,606,1192,779,594,958,984,1017
631,658,184,789,60,183,594,1339,546,1268
324,941,194,828,719,585,607,533,465,857
1292,674,199,211,1183,514,607,561,980,1131
866,243,201,845,511,627,590,1371,866,875
955,917,201,1246,901,814,604,681,1107,1180
622,495,192,255,833,991,599,256,905,1084
541,1078,189,989,823,560,596,513,1253,616
574,1248,202,577,393,686,591,408,660,973
659,430,191,844,746,914,596,450,610,1011
238,902,192,659,1181,497,589,737,659,1179
238,745,184,1184,592,794,608,969,1210,1108
739,648,193,908,869,752,599,1055,1174,951
1103,795,191,619,707,828,597,457,1368,1019
883,574,186,283,730,388,594,932,802,741
1093,945,195,775,955,699,599,493,920,938
779,676,203,992,904,687,606,941,479,665
999,965,191,177,551,972,607,1257,699,748
538,1008,193,441,782,757,592,785,702,418
403,346,195,989,860,511,604,639,643,771
806,688,315,674,598,297,498,579,530,637
181,480,317,838,851,872,493,742,953,1268
464,-16,323,695,1105,889,507,256,697,864
471,-320,323,923,748,880,493,874,663,1352
538,558,313,537,883,935,497,476,812,1105
1408,123,308,657,595,1003,490,991,555,1268
252,285,318,473,1150,869,500,695,670,786
864,196,308,681,1357,765,499,893,339,1288
1060,1040,301,842,8,855,496,1325,1013,331
240,725,308,785,316,785,493,557,899,1043
1074,734,302,665,492,1170,499,1208,911,776
295,915,304,421,358,787,498,963,605,1343
1348,209,308,1599,969,1028,493,523,565,518
535,328,305,641,1262,899,495,856,597,890
555,452,299,967,1437,987,504,433,808,755
559,655,298,657,514,351,509,1031,916,743
1186,440,300,1089,1220,574,513,441,718,788
1222,1071,301,791,1153,943,494,538,863,865
1006,740,290,806,622,724,510,519,986,354
364,281,298,923,872,596,517,856,858,1246
609,227,302,833,1250,498,509,1181,805,1090
1040,592,293,1269,698,929,515,686,1060,840
1139,771,306,714,1243,936,521,1212,636,1049
450,429,294,1140,859,583,520,619,1108,825
887,579,288,833,836,858,525,691,873,1144
599,542,298,740,994,482,518,468,1024,1031
-250,940,303,705,774,1123,518,556,787,657
1064,546,302,-199,328,726,518,426,924,1085
707,379,298,866,1019,680,522,1067,617,868
459,424,292,755,976,834,514,689,975,869
651,744,306,971,778,608,512,1121,947,1166
622,556,307,1262,138,692,518,458,939,731
699,880,306,792,1018,439,528,817,895,106
1082,800,302,497,1132,827,526,817,515,1230
296,11,297,1035,324,755,530,1235,957,721
964,415,310,815,476,726,529,450,740,953
644,673,302,1074,819,624,528,744,933,951
700,913,311,875,1239,756,533,606,916,953
322,699,307,1090,698,502,524,1364,1022,1176
1174,713,318,837,1205,365,525,844,784,797
1664,342,303,699,874,908,541,1117,621,764
353,296,312,735,1077,1055,523,1051,1221,1043
900,714,314,748,1180,544,538,1175,714,966
950,763,302,706,631,668,532,837,474,747
458,153,312,233,1092,827,534,1017,542,937
1141,776,309,454,929,683,529,251,589,1170
182,251,314,767,153,1067,534,681,770,644
623,655,319,982,774,449,526,1049,610,1321
722,401,307,687,576,720,539,1027,1413,1159
246,1155,315,544,561,877,537,1276,938,971
824,662,315,447,1357,822,525,874,901,1061
-70,578,314,432,622,664,535,938,611,1302
-64,391,318,530,991,1059,532,794,727,1230
684,546,311,391,764,471,544,569,802,1107
647,830,307,690,509,995,540,466,591,977
170,1203,317,1066,817,913,538,624,942,642
695,858,307,533,703,782,538,1216,749,1039
112,597,316,739,917,688,536,1374,673,1055
472,629,318,561,987,809,540,778,686,699
772,465,308,780,576,501,535,837,1119,1182
805,-164,324,997,838,742,543,976,586,402
1086,328,334,707,875,759,546,1026,878,625
828,661,336,947,669,476,555,1286,416,850
1284,691,335,1052,1004,964,556,1107,927,864
469,186,324,1208,400,755,548,709,1126,918
461,272,335,899,854,686,547,343,937,515
1428,726,334,1049,662,928,547,1040,747,1069
872,196,343,932,818,689,556,807,1038,669
-285,-40,327,848,482,783,542,1389,623,650
781,644,336,610,825,693,548,549,685,571
320,555,340,541,1000,834,541,1096,813,905
903,468,343,1091,398,485,545,595,750,1087
439,388,336,718,790,382,539,1059,832,715
428,402,337,150,746,760,549,777,814,687
831,-354,340,609,533,752,553,324,751,1007
716,862,338,672,1244,810,554,729,912,883
489,720,334,528,651,621,539,702,1070,453
114,466,327,411,1305,871,556,442,800,952
260,632,344,656,370,206,552,973,871,777
1220,976,344,827,957,1026,550,831,941,833
983,386,343,618,849,435,560,646,881,1643
682,829,337,752,842,746,560,845,698,1016
343,523,344,323,784,621,551,100,726,672
1105,636,343,639,321,676,561,853,1039,713
-62,242,338,771,791,975,557,1334,656,508
983,699,347,861,498,841,554,1162,914,1255
438,222,335,725,823,787,554,428,629,572
755,574,343,817,866,576,562,624,756,1151
773,64,344,1032,1167,917,557,392,1052,952
1145,1274,337,752,899,610,565,824,617,768
798,983,338,907,51,347,554,246,1040,1181
-169,1270,346,244,1320,905,553,661,175,833
267,663,347,609,873,707,562,498,583,947
998,1072,342,1016,5,870,571,120,875,1035
1049,561,334,1101,437,998,561,1417,646,823
804,99,347,1248,668,667,576,903,841,783
1418,493,341,264,950,809,569,256,1045,792
409,-57,341,982,468,711,577,1061,1017,1201
797,950,352,324,504,644,576,644,1298,743
-197,490,345,851,1294,858,575,584,785,1053
757,817,337,291,375,919,582,542,689,816
595,881,335,905,422,750,591,1167,719,1041
470,441,332,442,255,810,575,1113,1051,493
831,904,334,971,1111,615,585,780,703,892
752,534,326,843,1137,720,576,987,747,1402
452,460,326,1123,117,737,580,176,1232,1194
662,671,332,981,1139,737,592,1452,785,1285
-218,1380,325,414,806,1002,581,724,620,670
639,-322,327,451,406,636,591,409,712,874
1178,583,324,502,590,681,601,532,657,1169
1265,969,319,960,1170,649,594,568,846,1086
742,337,330,856,842,767,585,647,1041,803
323,378,320,496,1144,1052,599,509,885,1085
996,485,336,849,1143,482,595,61,846,984
724,807,331,913,1280,743,584,588,802,675
1136,413,324,1127,724,540,593,763,929,927
708,846,318,479,705,816,595,1111,718,1160
193,12,332,1199,763,673,587,1116,1137,1283
624,1058,329,848,984,860,593,1056,789,988
595,782,320,625,1046,861,596,232,277,763
-83,881,330,276,238,575,595,127,544,758
660,120,316,764,611,1021,583,524,363,978
891,823,323,690,775,662,593,463,931,1567
744,533,329,776,520,815,595,1195,1032,1019
678,777,313,891,783,1020,591,417,776,621
696,-319,326,904,554,1116,586,192,1053,1005
353,837,313,783,908,668,600,610,945,946
891,665,321,1002,1020,917,596,502,425,1107
268,883,315,484,597,671,602,1124,633,708
1085,393,322,664,881,878,594,1074,653,212
858,305,325,305,1239,711,600,656,354,614
728,393,313,1112,699,742,591,1193,875,483
1348,725,326,1100,723,821,601,525,865,968
333,270,321,156,843,683,603,862,895,1157
1393,715,327,822,1180,1176,596,-234,1236,817
698,1025,316,911,595,802,596,946,827,505
550,982,312,483,781,963,606,978,1227,1572
1243,290,309,1287,1017,700,606,659,720,685
570,1134,309,1021,698,865,594,630,990,1050
931,1021,318,973,941,659,604,712,630,906
752,252,320,481,463,482,592,809,481,1115
54,296,311,601,852,875,598,1168,572,839
21,909,308,655,1028,797,590,1194,1208,1089
566,-85,312,403,545,754,591,588,1073,697
610,373,317,661,618,808,594,1007,735,638
543,-246,313,1091,1307,415,603,405,1317,881
555,610,302,657,880,647,605,1261,823,1067
188,680,310,754,1001,747,602,1291,862,793
274,1194,300,616,1448,624,599,874,748,847
624,364,305,657,781,583,609,129,1180,908
731,755,305,1050,643,756,603,698,1305,758
860,698,295,646,963,573,599,568,1012,901
524,452,295,908,1311,833,597,1138,976,1137
78,738,302,649,694,1147,591,474,932,986
1224,279,294,946,512,877,599,246,787,704
723,394,286,660,885,722,591,948,866,1079
984,590,298,733,943,920,606,838,936,1200
929,668,300,668,676,547,591,649,836,1443
832,169,300,649,1120,638,589,859,1086,338
747,827,303,855,1434,571,593,1184,665,1173
523,523,295,352,548,801,600,1095,867,978
1280,722,285,1042,830,722,597,904,1095,676
563,1374,282,1025,895,364,594,902,850,668
362,461,283,837,1053,605,605,905,732,1343
414,148,285,1035,719,845,607,1040,598,1000
344,331,285,1023,832,989,596,679,902,835
948,715,276,921,819,294,586,810,900,609
379,281,281,557,427,670,589,846,955,826
524,561,297,954,944,689,503,541,661,1108
810,854,304,932,869,803,501,264,926,661
62,443,290,197,1123,715,494,1767,596,783
986,207,299,514,647,1036,497,774,783,566
918,626,305,685,449,394,497,795,928,865
574,265,288,656,1102,864,511,879,1354,1200
1103,513,298,887,1258,665,502,623,561,473
806,304,291,527,1030,768,507,548,714,717
773,713,305,1048,684,714,493,362,1046,688
959,429,300,734,712,762,503,863,848,899
745,786,307,740,315,955,496,426,1013,748
784,174,304,1120,753,1116,506,1294,526,933
395,738,290,923,1773,747,501,1176,993,720
477,756,300,435,1086,967,500,652,461,1161
1182,435,290,520,1104,692,505,533,739,840
495,844,307,983,710,626,509,679,799,1202
669,737,295,304,902,414,496,479,859,1235
440,32,295,710,968,982,500,935,1127,1145
770,1208,291,547,534,602,502,1112,691,1114
883,831,301,916,757,715,498,503,954,958
727,1132,295,1203,662,975,504,608,373,1138
1352,634,309,669,611,1009,496,837,563,1075
807,-31,314,731,472,271,487,905,818,779
810,762,307,1070,1140,890,496,462,231,1606
1108,379,316,384,719,708,478,1242,780,1170
321,712,325,790,553,493,483,1134,715,713
535,777,329,839,177,521,491,1228,431,800
543,522,332,877,291,649,479,386,965,498
1129,-41,321,1210,1065,635,483,498,703,736
497,241,320,824,630,791,481,1088,381,1101
852,428,331,389,1187,567,474,1292,851,1178
432,1075,326,753,618,988,483,1204,476,536
137,137,318,1089,1009,446,479,1128,613,796
223,430,319,1150,1032,1141,478,823,793,1036
419,313,328,404,846,762,483,1198,815,583
838,220,333,689,669,471,484,410,953,825
867,582,337,339,1267,458,476,911,1122,1032
392,-67,331,743,1043,710,477,693,94,1137
1223,-153,322,1055,482,771,480,519,931,1232
705,747,332,949,452,635,484,385,1066,747
836,91,341,387,1124,1235,478,864,1148,1367
914,672,339,970,1429,660,493,246,596,1157
452,961,330,634,843,926,486,1029,609,872
1229,736,336,745,1025,693,487,957,1381,924
805,535,346,634,822,580,488,355,981,1090
685,479,351,537,303,859,495,734,893,969
1032,271,340,1402,798,944,478,1312,405,756
1996,727,346,704,760,1011,479,398,988,917
805,342,356,1038,954,364,483,1626,1163,448
968,425,347,784,211,1254,488,634,767,593
731,846,346,621,1505,991,490,956,1411,900
294,827,345,712,744,516,484,720,889,930
1058,670,354,457,752,774,490,728,182,1055
598,818,344,788,872,1123,497,410,1013,1093
884,233,362,881,529,736,500,495,598,1027
606,1135,351,219,1017,681,481,438,284,704
266,360,344,425,231,601,483,480,1211,732
906,844,352,313,939,776,498,164,771,471
859,513,360,300,768,593,491,432,781,541
1284,876,355,627,614,690,494,695,672,883
1014,194,357,997,862,778,482,468,699,1094
465,331,369,705,1087,754,497,468,864,1160
814,326,368,634,540,557,486,539,828,1132
802,882,350,682,616,665,494,920,757,888
399,968,350,796,607,346,481,1413,193,1183
977,445,379,1377,790,590,590,106,672,633
1286,801,372,1022,602,414,597,465,649,594
631,4,380,585,710,673,587,1311,809,1181
226,652,370,473,865,487,591,585,448,907
1042,495,380,1100,439,1096,595,254,736,1054
85,453,381,999,945,291,590,937,627,505
261,656,565,923,797,837,486,1133,617,396
1607,483,567,709,467,438,495,453,847,1196
514,765,555,984,560,525,493,256,1127,1234
885,965,566,906,540,859,486,594,894,725
462,1050,566,962,1180,860,494,645,477,1117
588,56,571,482,1376,685,491,667,853,422
833,786,556,877,657,979,488,288,777,924
814,400,573,960,883,1075,482,1553,977,1050
666,520,567,1021,1271,755,491,823,619,826
788,298,558,798,914,1018,496,696,829,1117
1067,156,573,721,630,800,489,450,764,1156
961,421,561,746,952,746,489,852,726,1195
588,501,577,681,684,821,485,499,731,834
769,796,573,891,581,988,497,301,1079,919
270,409,566,464,919,437,490,469,489,904
728,1210,567,695,590,773,500,1687,1145,558
525,582,575,696,623,1139,510,711,498,836
976,998,564,680,618,684,509,954,866,1094
733,114,564,627,641,643,496,817,857,1491
1248,130,576,1617,1123,960,501,774,846,800
735,211,564,765,355,729,510,1233,594,848
838,967,566,377,903,541,520,73,864,699
1458,522,570,721,1001,616,522,1273,889,1117
865,159,567,354,21,878,527,553,428,983
1052,536,566,682,1292,544,520,933,950,704
837,317,566,789,1222,982,531,699,753,194
636,1009,564,991,298,562,534,787,938,590
1178,1468,570,888,981,530,536,1097,704,1029
513,441,567,868,816,733,533,873,790,1113
248,108,563,760,193,881,538,117,816,931
993,454,560,1102,1078,741,523,623,636,773
23,386,566,236,854,990,532,1342,688,691
-94,513,567,1263,1049,649,534,306,1131,1357
570,133,559,476,900,808,528,496,1038,1198
126,471,566,615,445,470,536,1215,770,910
974,663,560,1081,959,709,530,646,820,599
1298,577,574,752,748,643,528,762,574,721
791,580,573,759,1078,840,530,487,1017,1169
1106,1124,566,1076,696,615,538,714,982,810
752,669,566,636,630,731,542,257,771,1236
1235,311,562,867,824,736,537,942,902,845
776,694,571,905,-172,516,547,1159,505,957
1051,40,567,941,910,590,557,786,602,725
1038,1125,577,815,1560,285,557,1311,1087,1452
697,1368,561,859,758,762,555,1012,591,823
776,830,560,834,943,788,565,878,458,727
218,1113,567,896,790,588,573,375,1019,864
843,154,572,928,875,755,571,1690,1205,769
931,517,571,752,599,523,570,359,748,668
